GW,round,fixture,name,position,team,opponent_team,starts,minutes,goals,xG,assists,xA,xGI,GC,xGC,clean_sheets,own_goals,yellow_cards,red_cards,penalties_missed,saves,penalties_saved,was_home,points,bonus,opponent
1,1,6,Alex Scott,MID,Bournemouth,16,1,62,0,0.0,0,0.01,0.01,1,1.02,0,0,0,0,0,0,0,False,2,0,Nott'm Forest
1,1,6,Carlos Miguel dos Santos Pereira,GK,Nott'm Forest,3,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,True,0,0,Bournemouth
1,1,2,Tomiyasu Takehiro,DEF,Arsenal,20,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,True,0,0,Wolves
1,1,8,Malcolm Ebiowei,MID,Crystal Palace,4,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,False,0,0,Brentford
1,1,5,Ben Brereton Díaz,MID,Southampton,15,1,70,0,0.3,0,0.02,0.32,1,0.25,0,0,1,0,0,0,0,False,1,0,Newcastle
1,1,7,Pau Torres,DEF,Aston Villa,19,1,90,0,0.0,0,0.01,0.01,1,2.46,0,0,0,0,0,0,0,False,2,0,West Ham
1,1,8,Joel Ward,DEF,Crystal Palace,4,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,False,0,0,Brentford
1,1,10,Will Lankshear,FWD,Spurs,11,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,False,0,0,Leicester
1,1,2,Hwang Hee-chan,MID,Wolves,1,1,90,0,0.0,0,0.11,0.11,2,1.24,0,0,0,0,0,0,0,False,2,0,Arsenal
1,1,10,Mikey Moore,MID,Spurs,11,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,False,0,0,Leicester
1,1,8,Hákon Valdimarsson,GK,Brentford,7,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,True,0,0,Crystal Palace
1,1,6,Alex Paulsen,GK,Bournemouth,16,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,False,0,0,Nott'm Forest
1,1,2,João Victor Gomes da Silva,MID,Wolves,1,1,83,0,0.0,0,0.02,0.02,2,1.24,0,0,1,0,0,0,0,False,1,0,Arsenal
1,1,9,Cole Palmer,MID,Chelsea,13,1,90,0,0.07,0,0.19,0.26,2,0.77,0,0,0,0,0,0,0,True,2,0,Man City
1,1,3,Mitoma Kaoru,MID,Brighton,8,1,88,1,0.97,0,0.04,1.01,0,0.45,1,0,0,0,0,0,0,False,8,0,Everton
1,1,10,Boubakary Soumaré,MID,Leicester,18,0,11,0,0.0,0,0.0,0.0,0,0.25,0,0,0,0,0,0,0,True,1,0,Spurs
1,1,6,Chris Wood,FWD,Nott'm Forest,3,1,71,1,0.71,0,0.02,0.73,0,0.63,1,0,0,0,0,0,0,True,9,3,Bournemouth
1,1,6,Joe Worrall,DEF,Nott'm Forest,3,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,True,0,0,Bournemouth
1,1,8,Jeffrey Schlupp,MID,Crystal Palace,4,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,False,0,0,Brentford
1,1,6,Milos Kerkez,DEF,Bournemouth,16,1,90,0,0.0,0,0.01,0.01,1,1.3,0,0,1,0,0,0,0,False,1,0,Nott'm Forest
1,1,3,Adrian Mazilu,MID,Brighton,8,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,False,0,0,Everton
1,1,3,Jason Steele,GK,Brighton,8,1,90,0,0.0,0,0.0,0.0,0,0.45,1,0,0,0,0,1,0,False,7,1,Everton
1,1,4,Arijanet Muric,GK,Ipswich,12,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,True,0,0,Liverpool
1,1,3,Carl Rushworth,GK,Brighton,8,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,False,0,0,Everton
1,1,6,Ibrahim Sangaré,MID,Nott'm Forest,3,1,90,0,0.0,0,0.01,0.01,1,1.22,0,0,0,0,0,0,0,True,2,0,Bournemouth
1,1,1,Hannibal Mejbri,MID,Man Utd,9,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,True,0,0,Fulham
