GW,team,opponent
24,Arsenal,Man City
24,Aston Villa,Wolves
24,Bournemouth,Liverpool
24,Brentford,Spurs
24,Brighton,Nott'm Forest
24,Chelsea,West Ham
24,Crystal Palace,Man Utd
24,Everton,Leicester
24,Fulham,Newcastle
24,Ipswich,Southampton
24,Leicester,Everton
24,Liverpool,Brentford
24,Man City,Arsenal
24,Man Utd,Crystal Palace
24,Newcastle,Fulham
24,Nott'm Forest,Bournemouth
24,Southampton,Ipswich
24,Spurs,Brighton
24,West Ham,Chelsea
24,Wolves,Aston Villa
25,Arsenal,Leicester
25,Aston Villa,Ipswich
25,Bournemouth,Southampton
25,Brentford,West Ham
25,Brighton,Chelsea
25,Chelsea,Bournemouth
25,Crystal Palace,Everton
25,Everton,Crystal Palace
25,Fulham,Nott'm Forest
25,Ipswich,Aston Villa
25,Leicester,Arsenal
25,Liverpool,Wolves
25,Man City,Newcastle
25,Man Utd,Spurs
25,Newcastle,Man City
25,Nott'm Forest,Fulham
25,Southampton,Brentford
25,Spurs,Man Utd
25,West Ham,Brighton
25,Wolves,Liverpool
26,Arsenal,West Ham
26,Aston Villa,Chelsea
26,Bournemouth,Wolves
26,Brentford,Leicester
26,Brighton,Southampton
26,Chelsea,Aston Villa
26,Crystal Palace,Fulham
26,Everton,Man Utd
26,Fulham,Crystal Palace
26,Ipswich,Spurs
26,Leicester,Brighton
26,Liverpool,Man City
26,Man City,Liverpool
26,Man Utd,Everton
26,Newcastle,Nott'm Forest
26,Nott'm Forest,Newcastle
26,Southampton,Bournemouth
26,Spurs,Ipswich
26,West Ham,Arsenal
26,Wolves,Brentford
27,Arsenal,Nott'm Forest
27,Aston Villa,Crystal Palace
27,Bournemouth,Bournemouth
27,Brentford,Everton
27,Brighton,Brentford
27,Chelsea,Southampton
27,Crystal Palace,Aston Villa
27,Everton,Brighton
27,Fulham,Wolves
27,Ipswich,Man Utd
27,Leicester,West Ham
27,Liverpool,Newcastle
27,Man City,Spurs
27,Man Utd,Ipswich
27,Newcastle,Liverpool
27,Nott'm Forest,Arsenal
27,Southampton,Chelsea
27,Spurs,Man City
27,West Ham,Leicester
27,Wolves,Fulham
28,Arsenal,Man Utd
28,Aston Villa,Brighton
28,Bournemouth,Spurs
28,Brentford,Aston Villa
28,Brighton,Fulham
28,Chelsea,Leicester
28,Crystal Palace,Ipswich
28,Everton,Wolves
28,Fulham,Bournemouth
28,Ipswich,Crystal Palace
28,Leicester,Chelsea
28,Liverpool,Southampton
28,Man City,Nott'm Forest
28,Man Utd,Arsenal
28,Newcastle,West Ham
28,Nott'm Forest,Man City
28,Southampton,Liverpool
28,Spurs,Brentford
28,West Ham,Newcastle
28,Wolves,Everton
29,Arsenal,Chelsea
29,Aston Villa,Liverpool
29,Bournemouth,Brighton
29,Brentford,Brentford
29,Brighton,Man City
29,Chelsea,Arsenal
29,Crystal Palace,Newcastle
29,Everton,West Ham
29,Fulham,Spurs
29,Ipswich,Nott'm Forest
29,Leicester,Man Utd
29,Liverpool,Aston Villa
29,Man City,Bournemouth
29,Man Utd,Leicester
29,Newcastle,Crystal Palace
29,Nott'm Forest,Ipswich
29,Southampton,Wolves
29,Spurs,Fulham
29,West Ham,Everton
29,Wolves,Southampton
