team,goals,xG,goals_home,xG_home,goals_away,xG_away,GC,xGC,GC_home,xGC_home,GC_away,xGC_away,CS,CS_home,CS_away,games_played,games_played_home,games_won,games_won_home,games_won_away,games_played_away
Arsenal,42,38.99,20,21.43,22,17.56,21,20.57,9,6.89,12,13.68,8,5,3,23,11,12,6,6,12
Aston Villa,33,34.59,20,21.07,13,13.52,35,28.740000000000002,14,9.66,21,19.08,3,2,1,23,12,10,6,4,11
Bournemouth,41,44.34,17,21.21,24,23.13,26,29.09,7,11.11,19,17.98,6,5,1,23,11,11,6,5,12
Brentford,41,37.019999999999996,28,22.71,13,14.309999999999999,39,39.620000000000005,22,19.79,17,19.830000000000002,4,1,3,23,12,8,6,2,11
Brighton,34,31.95,13,16.55,21,15.4,30,33.14,14,14.24,16,18.9,5,2,3,23,11,8,3,5,12
Chelsea,45,47.21,20,23.36,25,23.85,30,32.91,14,12.72,16,20.19,4,1,3,23,11,11,5,6,12
Crystal Palace,25,31.87,11,16.86,14,15.009999999999998,28,32.76,18,16.57,10,16.19,8,3,5,23,12,7,3,4,11
Everton,16,22.380000000000003,9,12.030000000000001,7,10.350000000000001,28,29.58,13,14.57,15,15.01,8,4,4,22,11,4,2,2,11
Fulham,33,32.71,17,15.68,16,17.03,30,26.990000000000002,17,13.98,13,13.01,4,1,3,23,12,8,4,4,11
Ipswich,20,21.04,8,10.99,12,10.05,46,48.72,24,21.96,22,26.76,2,1,1,23,12,2,1,1,11
Leicester,25,23.330000000000002,11,12.08,14,11.25,47,45.38,21,21.68,26,23.7,1,1,0,23,12,4,2,2,11
Liverpool,54,51.86,24,23.76,30,28.1,21,19.38,9,9.23,12,10.15,9,4,5,22,11,16,8,8,11
Man City,46,44.5,23,24.52,23,19.98,29,33.69,15,14.17,14,19.52,6,2,4,23,11,12,7,5,12
Man Utd,27,32.53,16,19.12,11,13.41,31,34.61,19,17.89,12,16.72,8,4,4,23,12,8,5,3,11
Newcastle,40,40.54,19,19.310000000000002,21,21.23,26,28.45,11,13.56,15,14.889999999999999,9,6,3,23,11,12,6,6,12
Nott'm Forest,33,29.47,15,14.6,18,14.870000000000001,27,26.36,10,11.07,17,15.290000000000001,9,4,5,23,11,13,6,7,12
Southampton,15,23.31,8,12.780000000000001,7,10.53,53,55.660000000000004,30,31.85,23,23.810000000000002,2,1,1,23,11,1,1,0,12
Spurs,44,39.81,26,22.16,18,17.65,35,38.24,23,21.22,12,17.02,4,1,3,23,12,7,4,3,11
West Ham,27,31.89,15,17.13,12,14.76,42,40.63,26,23.78,16,16.85,4,1,3,23,12,7,4,3,11
Wolves,32,24.39,14,12.22,18,12.17,49,39.21,23,18.22,26,20.990000000000002,3,2,1,23,11,4,2,2,12
